# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
6.496528813787e+00,-4.999986193006e-02
6.511575141478e+00,-4.999986860603e-02
6.526621469168e+00,-4.999987495925e-02
6.541667796859e+00,-4.999988100533e-02
6.556714124549e+00,-4.999988675911e-02
6.571760452240e+00,-4.999989223473e-02
6.586806779930e+00,-4.999989744562e-02
6.601853107621e+00,-4.999990240459e-02
6.616899435312e+00,-4.999990712381e-02
6.631945763002e+00,-4.999991161488e-02
6.646992090693e+00,-4.999991588882e-02
6.662038418383e+00,-4.999991995612e-02
6.677084746074e+00,-4.999992382678e-02
6.692131073764e+00,-4.999992751030e-02
6.707177401455e+00,-4.999993101573e-02
6.722223729145e+00,-4.999993435168e-02
6.737270056836e+00,-4.999993752634e-02
6.752316384526e+00,-4.999994054751e-02
6.767362712217e+00,-4.999994342260e-02
6.782409039907e+00,-4.999994615868e-02
6.797455367598e+00,-4.999994876247e-02
6.812501695288e+00,-4.999995124037e-02
6.827548022979e+00,-4.999995359846e-02
6.842594350669e+00,-4.999995584253e-02
6.857640678360e+00,-4.999995797809e-02
6.872687006050e+00,-4.999996001039e-02
6.891494915664e+00,-4.999996239906e-02
6.910302825277e+00,-4.999996464508e-02
6.929110734890e+00,-4.999996675697e-02
6.947918644503e+00,-4.999996874273e-02
6.966726554116e+00,-4.999997060990e-02
6.985534463729e+00,-4.999997236555e-02
7.000000000000e+00,-4.999997365297e-02
7.018807909613e+00,-4.999997522688e-02
7.037615819226e+00,-4.999997670679e-02
7.056423728839e+00,-4.999997809832e-02
7.075231638453e+00,-4.999997940673e-02
7.094039548066e+00,-4.999998063700e-02
7.112847457679e+00,-4.999998179378e-02
7.131655367292e+00,-4.999998288148e-02
7.150463276905e+00,-4.999998390421e-02
7.169271186518e+00,-4.999998486585e-02
7.188079096132e+00,-4.999998577005e-02
7.206887005745e+00,-4.999998662024e-02
7.225694915358e+00,-4.999998741965e-02
7.244502824971e+00,-4.999998817131e-02
7.263310734584e+00,-4.999998887807e-02
7.282118644197e+00,-4.999998954261e-02
7.300926553810e+00,-4.999999016746e-02
7.319734463424e+00,-4.999999075498e-02
7.338542373037e+00,-4.999999130740e-02
7.357350282650e+00,-4.999999182682e-02
7.376158192263e+00,-4.999999231522e-02
7.394966101876e+00,-4.999999277444e-02
7.413774011489e+00,-4.999999320622e-02
7.432581921103e+00,-4.999999361221e-02
7.451389830716e+00,-4.999999399394e-02
7.470197740329e+00,-4.999999435287e-02
7.489005649942e+00,-4.999999469036e-02
7.507813559555e+00,-4.999999500768e-02
7.526621469168e+00,-4.999999530605e-02
7.545429378782e+00,-4.999999558658e-02
7.564237288395e+00,-4.999999585036e-02
7.583045198008e+00,-4.999999609838e-02
7.601853107621e+00,-4.999999633158e-02
7.620661017234e+00,-4.999999655084e-02
7.639468926847e+00,-4.999999675700e-02
7.658276836460e+00,-4.999999695085e-02
7.677084746074e+00,-4.999999713311e-02
